threshold,precision,recall,f1
0.01,0.6097560975609756,1.0,0.7575757575757576
0.02,0.6097560975609756,1.0,0.7575757575757576
0.03,0.6097560975609756,1.0,0.7575757575757576
0.04,0.6666666666666666,0.96,0.7868852459016393
0.05,0.6764705882352942,0.92,0.7796610169491526
0.06,0.6764705882352942,0.92,0.7796610169491526
0.07,0.696969696969697,0.92,0.7931034482758621
0.08,0.696969696969697,0.92,0.7931034482758621
0.09,0.696969696969697,0.92,0.7931034482758621
0.1,0.696969696969697,0.92,0.7931034482758621
0.11,0.71875,0.92,0.8070175438596491
0.12,0.7096774193548387,0.88,0.7857142857142857
0.13,0.7096774193548387,0.88,0.7857142857142857
0.14,0.7096774193548387,0.88,0.7857142857142857
0.15,0.7096774193548387,0.88,0.7857142857142857
0.16,0.7096774193548387,0.88,0.7857142857142857
0.17,0.7241379310344828,0.84,0.7777777777777778
0.18,0.7241379310344828,0.84,0.7777777777777778
0.19,0.7241379310344828,0.84,0.7777777777777778
0.2,0.7241379310344828,0.84,0.7777777777777778
0.21,0.7241379310344828,0.84,0.7777777777777778
0.22,0.7241379310344828,0.84,0.7777777777777778
0.23,0.7241379310344828,0.84,0.7777777777777778
0.24,0.7241379310344828,0.84,0.7777777777777778
0.25,0.7241379310344828,0.84,0.7777777777777778
0.26,0.7241379310344828,0.84,0.7777777777777778
0.27,0.7241379310344828,0.84,0.7777777777777778
0.28,0.75,0.84,0.7924528301886793
0.29,0.7777777777777778,0.84,0.8076923076923077
0.3,0.7777777777777778,0.84,0.8076923076923077
0.31,0.7777777777777778,0.84,0.8076923076923077
0.32,0.7777777777777778,0.84,0.8076923076923077
0.33,0.7692307692307693,0.8,0.7843137254901961
0.34,0.7692307692307693,0.8,0.7843137254901961
0.35,0.7692307692307693,0.8,0.7843137254901961
0.36,0.7692307692307693,0.8,0.7843137254901961
0.37,0.7692307692307693,0.8,0.7843137254901961
0.38,0.7692307692307693,0.8,0.7843137254901961
0.39,0.8,0.8,0.8
0.4,0.8,0.8,0.8
0.41,0.8,0.8,0.8
0.42,0.8,0.8,0.8
0.43,0.8,0.8,0.8
0.44,0.8,0.8,0.8
0.45,0.8,0.8,0.8
0.46,0.8,0.8,0.8
0.47,0.8,0.8,0.8
0.48,0.8,0.8,0.8
0.49,0.8,0.8,0.8
0.5,0.8,0.8,0.8
0.51,0.8,0.8,0.8
0.52,0.8,0.8,0.8
0.53,0.8,0.8,0.8
0.54,0.8,0.8,0.8
0.55,0.8,0.8,0.8
0.56,0.8,0.8,0.8
0.57,0.8,0.8,0.8
0.58,0.8,0.8,0.8
0.59,0.8,0.8,0.8
0.6,0.8,0.8,0.8
0.61,0.8,0.8,0.8
0.62,0.8,0.8,0.8
0.63,0.8,0.8,0.8
0.64,0.8,0.8,0.8
0.65,0.8,0.8,0.8
0.66,0.8,0.8,0.8
0.67,0.8,0.8,0.8
0.68,0.8,0.8,0.8
0.69,0.8,0.8,0.8
0.7,0.8,0.8,0.8
0.71,0.8,0.8,0.8
0.72,0.7916666666666666,0.76,0.7755102040816326
0.73,0.7916666666666666,0.76,0.7755102040816326
0.74,0.7916666666666666,0.76,0.7755102040816326
0.75,0.7916666666666666,0.76,0.7755102040816326
0.76,0.7916666666666666,0.76,0.7755102040816326
0.77,0.782608695652174,0.72,0.75
0.78,0.782608695652174,0.72,0.75
0.79,0.782608695652174,0.72,0.75
0.8,0.782608695652174,0.72,0.75
0.81,0.782608695652174,0.72,0.75
0.82,0.782608695652174,0.72,0.75
0.83,0.782608695652174,0.72,0.75
0.84,0.782608695652174,0.72,0.75
0.85,0.782608695652174,0.72,0.75
0.86,0.782608695652174,0.72,0.75
0.87,0.782608695652174,0.72,0.75
0.88,0.8181818181818182,0.72,0.7659574468085106
0.89,0.8181818181818182,0.72,0.7659574468085106
0.9,0.8181818181818182,0.72,0.7659574468085106
0.91,0.8181818181818182,0.72,0.7659574468085106
0.92,0.8095238095238095,0.68,0.7391304347826086
0.93,0.8095238095238095,0.68,0.7391304347826086
0.94,0.85,0.68,0.7555555555555555
0.95,0.8333333333333334,0.6,0.6976744186046512
0.96,0.8333333333333334,0.6,0.6976744186046512
0.97,0.8333333333333334,0.6,0.6976744186046512
0.98,0.9230769230769231,0.48,0.631578947368421
0.99,0.0,0.0,0.0
